Scientific Name,Common Name,Species Type,IUCN Red List Category,Reason For Change,Year
Oxera crassifolia,,Flowering Plants,NT,N,2020-3
Palaquium mindanaense,,Flowering Plants,CR,N,2020-1
Pandanus decastigma,,Flowering Plants,DD,N,2020-2
Pandanus decumbens,,Flowering Plants,LC,N,2020-1
Pandanus kajui,,Flowering Plants,EN,N,2020-1
Pandanus verecundus,,Flowering Plants,EN,N,2020-1
Parathesis amplifolia,,Flowering Plants,LC,N,2020-3
Parathesis seibertii,,Flowering Plants,EN,N,2020-3
Parmentiera stenocarpa,Palo de Vela,Flowering Plants,LC,N,2020-3
Pavetta tarennoides,,Flowering Plants,CR,G,2020-1
Perrottetia excelsa,,Flowering Plants,DD,N,2020-3
Philenoptera kanurii,,Flowering Plants,EN,N,2020-1
Phragmotheca rubriflora,,Flowering Plants,EN,N,2020-3
Pichonia balansana,,Flowering Plants,NT,N,2020-1
Pichonia daenikeri,,Flowering Plants,VU,N,2020-1
Pittosporum goetzei,,Flowering Plants,LC,N,2020-3
Platyspermation crassifolium,,Flowering Plants,NT,N,2020-1
Polyscias pulgarensis,,Flowering Plants,EN,N,2020-2
Pouteria arguacoensium,Manzano,Flowering Plants,LC,N,2020-3
Pouteria chocoensis,Caimito Popa,Flowering Plants,LC,N,2020-3
Pouteria decussata,,Flowering Plants,DD,N,2020-3
Pouteria espinae,,Flowering Plants,LC,N,2020-1
Pradosia cuatrecasasii,Caimito,Flowering Plants,LC,N,2020-3
Protea comptonii,Saddleback Sugarbush,Flowering Plants,VU,G,2020-3
Protea laetans,Blyde Sugarbush,Flowering Plants,EN,G,2020-3
Protea lanceolata,Lance-leaved Sugarbush,Flowering Plants,LC,N,2020-3
Psychotria grandiflora,,Flowering Plants,CR,G,2020-2
Psychotria taitensis,,Flowering Plants,EN,N,2020-1
Pycnandra blanchonii,,Flowering Plants,NT,N,2020-1
Pycnandra francii,,Flowering Plants,LC,N,2020-1
Pycnandra kaalaensis,,Flowering Plants,NT,N,2020-1
Pycnandra petiolata,,Flowering Plants,LC,N,2020-1
Pycnocoma littoralis,,Flowering Plants,LC,N,2020-3
Pycnocoma macrantha,,Flowering Plants,EN,N,2020-3
Quercus costaricensis,Roble Negro,Flowering Plants,VU,N,2020-3
Quercus devia,,Flowering Plants,EN,N,2020-2
Quercus galeanensis,,Flowering Plants,EN,N,2020-2
Quercus macdougallii,,Flowering Plants,EN,N,2020-2
Quercus peninsularis,Pacific Emory Oak,Flowering Plants,NT,N,2020-2
Quercus purulhana,,Flowering Plants,NT,N,2020-2
Quercus rysophylla,,Flowering Plants,NT,N,2020-2
Quercus skinneri,,Flowering Plants,NT,N,2020-2
Radermachera ramiflora,,Flowering Plants,VU,N,2020-3
Ranunculus schweinfurthii,Schweinfurth Buttercup,Flowering Plants,EN,G,2020-3
Rauvolfia nukuhivensis,,Flowering Plants,CR,N,2020-3
Rhaptopetalum belingense,,Flowering Plants,EN,N,2020-3
Rhododendron wilhelminae,,Flowering Plants,CR(PE),N,2020-1
Rhus coriaria,Sumac,Flowering Plants,LC,N,2020-3
Rhytachne megastachya,,Flowering Plants,DD,N,2020-3
Rinorea brachythrix,,Flowering Plants,LC,N,2020-3
Rinorea haughtii,,Flowering Plants,NT,N,2020-3
Rinorea longistipulata,Canela-de-Velho,Flowering Plants,EN,N,2020-3
Rinorea marginata,,Flowering Plants,EN,N,2020-3
Rinorea ulmifolia,,Flowering Plants,LC,N,2020-2
Robinsonella brevituba,,Flowering Plants,EN,N,2020-3
Robinsonella mirandae,Algodoncillo,Flowering Plants,EN,N,2020-3
Robinsonella samaricarpa,,Flowering Plants,EN,N,2020-3
Romeroa verticillata,Cuerillo,Flowering Plants,EN,N,2020-3
Rotala fontinalis,,Flowering Plants,DD,N,2020-2
Roupala brachybotrys,Yaguero,Flowering Plants,LC,N,2020-1
Roystonea stellata,,Flowering Plants,EX,N,2020-3
Ruagea ovalis,Cedrillo,Flowering Plants,LC,N,2020-1
Rudgea crassifolia,,Flowering Plants,NT,N,2020-3
Sarcolaena eriophora,,Flowering Plants,NT,N,2020-2
Sarcolaena grandiflora,,Flowering Plants,VU,N,2020-2
Saurauia seibertii,,Flowering Plants,LC,N,2020-3
Schefflera agamae,,Flowering Plants,CR,N,2020-2
Schefflera curranii,,Flowering Plants,CR,N,2020-3
Scutellaria insignis,,Flowering Plants,LC,N,2020-2
Serianthes margaretae,,Flowering Plants,EN,N,2020-1
Shorea almon,Philippine Mahogany,Flowering Plants,NT,N,2020-1
Shorea astylosa,,Flowering Plants,EN,N,2020-1
Shorea balangeran,Red Balau,Flowering Plants,VU,N,2020-1
Shorea contorta,White Lauan,Flowering Plants,LC,N,2020-1
Shorea flemmichii,,Flowering Plants,VU,N,2020-1
Shorea malibato,,Flowering Plants,VU,N,2020-1
Shorea negrosensis,Red Lauan,Flowering Plants,LC,N,2020-1
Shorea ochrophloia,Red Balau,Flowering Plants,VU,N,2020-2
Shorea palosapis,Philippine Mahogany,Flowering Plants,LC,N,2020-1
Shorea polysperma,,Flowering Plants,LC,N,2020-1
Shorea pubistyla,,Flowering Plants,LC,N,2020-1
Shorea rugosa,Dark Red Meranti,Flowering Plants,VU,N,2020-1
Shorea seminis,,Flowering Plants,LC,N,2020-2
Sibangea pleioneura,,Flowering Plants,EN,N,2020-3
Solanum minutifoliolum,,Flowering Plants,EN,N,2020-3
Solanum sibundoyense,Tomate Silvestre,Flowering Plants,LC,N,2020-3
Sorindeia calantha,,Flowering Plants,VU,N,2020-2
Sphenoclea dalzielii,Wedgewort,Flowering Plants,LC,N,2020-2
Stephanopodium magnifolium,,Flowering Plants,EN,N,2020-3
Stephanostegia capuronii,,Flowering Plants,LC,N,2020-1
Suregada lithoxyla,,Flowering Plants,NT,N,2020-3
Swartzia macrophylla,,Flowering Plants,LC,N,2020-2
Swartzia santanderensis,,Flowering Plants,NT,N,2020-2
Swietenia mahagoni,Small-leaved Mahogany,Flowering Plants,NT,N,2020-1
Syzygium pendulinum,,Flowering Plants,CR,N,2020-3
Syzygium poyanum,,Flowering Plants,EN,N,2020-3
Tabernaemontana cordata,,Flowering Plants,EN,N,2020-3
Tapirira chimalapana,Caobillo,Flowering Plants,CR,G,2020-1
Tapura arachnoidea,,Flowering Plants,EN,N,2020-3
Tapura letestui,,Flowering Plants,EN,N,2020-3
Tapura neglecta,,Flowering Plants,EN,N,2020-3
Tectona philippinensis,Philippine Teak,Flowering Plants,EN,N,2020-2
Terminalia barbosae,,Flowering Plants,VU,N,2020-2
Tessmannianthus quadridomius,Arracacho,Flowering Plants,LC,N,2020-2
Tetrorchidium ulugurense,,Flowering Plants,CR,N,2020-3
Trichilia gamopetala,,Flowering Plants,DD,N,2020-3
Trichocladus goetzei,,Flowering Plants,LC,N,2020-3
Trigonobalanus excelsa,Black oak,Flowering Plants,EN,N,2020-1
Tristaniopsis decorticata,,Flowering Plants,LC,N,2020-2
Tristaniopsis lucida,,Flowering Plants,VU,N,2020-2
Tristaniopsis macphersonii,,Flowering Plants,LC,N,2020-2
Tristaniopsis minutiflora,,Flowering Plants,CR,N,2020-2
Tristaniopsis polyandra,,Flowering Plants,CR,N,2020-2
Tristaniopsis vieillardii,,Flowering Plants,EN,N,2020-2
Tristaniopsis yateensis,,Flowering Plants,VU,N,2020-2
Vateria indica,White Dammar,Flowering Plants,VU,N,2020-1
Vatica pachyphylla,Thick-leaf Narig,Flowering Plants,EN,N,2020-1
Vepris borenensis,,Flowering Plants,DD,N,2020-1
Vepris samburuensis,,Flowering Plants,EN,N,2020-1
Vismia jefensis,,Flowering Plants,LC,N,2020-3
Vitex parviflora,,Flowering Plants,LC,N,2020-1
Warburgia elongata,,Flowering Plants,CR,G,2020-2
Wendlandia angustifolia,,Flowering Plants,EN,N,2020-3
Wimmeria montana,,Flowering Plants,VU,N,2020-2
Xylosma kaalaensis,,Flowering Plants,EN,N,2020-2
Xylosma tuberculatum,,Flowering Plants,EN,N,2020-2
Zieria chevalieri,,Flowering Plants,EN,N,2020-2
Zygia lehmannii,Escobillo,Flowering Plants,VU,N,2020-3
Cyclosorus wailele,Waioli Valley Maidenfern,Fern,CR,G,2020-2
Alouatta sara,Bolivian Red Howler Monkey,Mammal,NT,G,2021-1
Anomalurus pelii,Pel's Flying Squirrel,Mammal,LC,N,2021-3
Aotus zonalis,Panamanian Night Monkey,Mammal,NT,N,2021-1
Capricornis rubidus,Red Serow,Mammal,VU,N,2021-3
Cebus brunneus,Venezuelan Brown Capuchin,Mammal,EN,N,2021-2
Chalinolobus tuberculatus,New Zealand Long-tailed Bat,Mammal,CR,G,2021-1
Crocidura allex,East African Highland Shrew,Mammal,LC,N,2021-2
Crocidura buettikoferi,Buettikofer's Shrew,Mammal,LC,N,2021-2
Echiothrix centrosa,Central Sulawesi Echiothrix,Mammal,NT,N,2021-3
Eonycteris major,Greater Dawn Bat,Mammal,NT,N,2021-1
Falsistrellus tasmaniensis,Eastern False Pipistrelle,Mammal,VU,N,2021-1
Galemys pyrenaicus,Pyrenean Desman,Mammal,EN,G,2021-3
Haeromys minahassae,Lowland Sulawesi Haeromys,Mammal,NT,N,2021-3
Hapalomys delacouri,Lesser Marmoset Rat,Mammal,NT,N,2021-3
Harpyionycteris celebensis,Sulawesi Harpy Fruit Bat,Mammal,NT,N,2021-1
Hipposideros dinops,Fierce Leaf-nosed Bat,Mammal,VU,N,2021-3
Hipposideros madurae,Maduran Leaf-nosed Bat,Mammal,NT,N,2021-2
Hipposideros sorenseni,Sorensen's Leaf-nosed Bat,Mammal,EN,N,2021-2
Hipposideros stenotis,Northern Leaf-nosed Bat,Mammal,VU,N,2021-1
Hyperoodon ampullatus,Northern Bottlenose Whale,Mammal,NT,N,2021-1
Kerivoula myrella,Manus Island Woolly Bat,Mammal,VU,N,2021-1
Leontopithecus caissara,Black-faced Lion Tamarin,Mammal,EN,N,2021-3
Loxodonta africana,African Savanna Elephant,Mammal,EN,N,2021-1
Meriones dahli,Dahl's Jird,Mammal,CR,G,2021-3
Mico leucippe,Golden-white Bare-ear Marmoset,Mammal,LC,N,2021-1
Mico marcai,Marca’s Marmoset,Mammal,VU,N,2021-3
Miniopterus paululus,Philippine Long-fingered Bat,Mammal,LC,N,2021-2
Myosorex tenuis,Thin Mouse Shrew,Mammal,EN,N,2021-3
Myotis frater,Fraternal Myotis,Mammal,LC,N,2021-2
Myotis stalkeri,Stalker's Myotis,Mammal,LC,N,2021-3
Nyctophilus microdon,Small-toothed Long-eared Bat,Mammal,LC,N,2021-3
Otomys lacustris,Tanzanian Vlei Rat,Mammal,LC,N,2021-3
Phoniscus papuensis,Golden-tipped Bat,Mammal,VU,G,2021-1
Pithecia hirsuta,Hairy Saki,Mammal,LC,N,2021-3
Plecturocebus olallae,Olalla Brothers’ Titi,Mammal,CR,G,2021-1
Plerotes anchietae,D'Anchieta's Fruit Bat,Mammal,LC,N,2021-1
Praomys degraaffi,De Graaff's Praomys,Mammal,LC,N,2021-3
Presbytis femoralis,Banded Leaf Monkey,Mammal,CR,N,2021-3
Pteropus capistratus,New Britain Masked Flying Fox,Mammal,VU,N,2021-3
Pteropus howensis,Ontong Java Flying Fox,Mammal,CR,N,2021-1
Rhinolophus arcuatus,Arcuate Horseshoe Bat,Mammal,DD,N,2021-3
Rousettus leschenaultii,Leschenault’s Rousette,Mammal,NT,N,2021-3
Saimiri oerstedii,Black-crowned Central American Squirrel Monkey,Mammal,EN,N,2021-1
Saimiri vanzolinii,Black Squirrel Monkey,Mammal,EN,N,2021-1
Scotonycteris zenkeri,Zenker's Fruit Bat,Mammal,NT,N,2021-1
Solomys salebrosus,Bougainville Giant Rat,Mammal,VU,N,2021-3
Syconycteris carolinae,Halmaheran Blossom Bat,Mammal,NT,N,2021-1
Trachypithecus barbei,Tenasserim Lutung,Mammal,VU,N,2021-1
Acridotheres melanopterus,Black-winged Myna,Bird,EN,G,2021-3
Alca torda,Razorbill,Bird,LC,N,2021-3
Amazilia lilliae,Sapphire-bellied Hummingbird,Bird,EN,N,2021-3
Amazona auropalliata,Yellow-naped Amazon,Bird,CR,G,2021-3
Amazona barbadensis,Yellow-shouldered Amazon,Bird,NT,N,2021-3
Anas aucklandica,Auckland Teal,Bird,NT,N,2021-3
Androphobus viridis,Papuan Whipbird,Bird,LC,N,2021-3
Anthus antarcticus,South Georgia Pipit,Bird,LC,G,2021-3
Anthus pratensis,Meadow Pipit,Bird,LC,G,2021-3
Arcanator orostruthus,Dapple-throat,Bird,NT,N,2021-3
Arizelocichla milanjensis,Stripe-cheeked Bulbul,Bird,NT,N,2021-3
Arizelocichla montana,Cameroon Mountain Greenbul,Bird,LC,N,2021-3
Asthenes heterura,Maquis Canastero,Bird,LC,N,2021-3
Asthenes huancavelicae,Huancavelica Canastero,Bird,LC,N,2021-3
Asthenes usheri,White-tailed Canastero,Bird,NT,N,2021-3
Atlapetes melanopsis,Black-spectacled Brush-finch,Bird,NT,N,2021-3
Batis reichenowi,Reichenow's Batis,Bird,NT,N,2021-3
Bradypterus graueri,Grauer's Swamp-warbler,Bird,VU,N,2021-3
Branta sandvicensis,Hawaiian Goose,Bird,NT,G,2021-3
Brotogeris pyrrhoptera,Grey-cheeked Parakeet,Bird,VU,G,2021-3
Campylorhamphus multostriatus,Xingu Scythebill,Bird,NT,G,2021-3
Ceblepyris cucullatus,Comoro Cuckooshrike,Bird,EN,N,2021-3
Ceblepyris graueri,Grauer's Cuckooshrike,Bird,LC,N,2021-3
Centropus violaceus,Violaceous Coucal,Bird,LC,N,2021-3
Ceyx fallax,Sulawesi Dwarf-kingfisher,Bird,LC,N,2021-3
Chaetocercus bombus,Little Woodstar,Bird,NT,N,2021-3
Charadrius javanicus,Javan Plover,Bird,LC,N,2021-3
Charadrius pallidus,Chestnut-banded Plover,Bird,LC,N,2021-3
Chelictinia riocourii,Scissor-tailed Kite,Bird,VU,G,2021-3
Colaptes fernandinae,Fernandina's Flicker,Bird,EN,G,2021-3
Conopophaga cearae,Ceara Gnateater,Bird,NT,N,2021-3
Cossypha heinrichi,White-headed Robin-chat,Bird,LC,N,2021-3
Crax alector,Black Curassow,Bird,LC,N,2021-3
Crossleyia xanthophrys,Madagascar Yellowbrow,Bird,LC,N,2021-3
Ducula aenea,Green Imperial-pigeon,Bird,NT,N,2021-3
Ducula bakeri,Vanuatu Imperial-pigeon,Bird,LC,N,2021-3
Ducula brenchleyi,Chestnut-bellied Imperial-pigeon,Bird,NT,G,2021-3
Ducula rubricera,Red-knobbed Imperial-pigeon,Bird,LC,N,2021-3
Eleothreptus anomalus,Sickle-winged Nightjar,Bird,VU,G,2021-3
Emberizoides duidae,Duida Grass-finch,Bird,DD,N,2021-3
Erythropitta ussheri,Black-crowned Pitta,Bird,LC,N,2021-3
Eupherusa poliocerca,White-tailed Hummingbird,Bird,NT,N,2021-3
Falco vespertinus,Red-footed Falcon,Bird,VU,G,2021-3
Geokichla crossleyi,Crossley's Ground-thrush,Bird,LC,N,2021-3
Geokichla guttata,Spotted Ground-thrush,Bird,VU,N,2021-3
Geospiza pallida,Woodpecker Finch,Bird,NT,N,2021-3
Glareola ocularis,Madagascar Pratincole,Bird,NT,N,2021-3
Glaucis dohrnii,Hook-billed Hermit,Bird,VU,N,2021-3
Graminicola striatus,Chinese Grass-babbler,Bird,NT,N,2021-3
Grus japonensis,Red-crowned Crane,Bird,VU,G,2021-3
Gyps coprotheres,Cape Vulture,Bird,VU,N,2021-3
Habia gutturalis,Sooty Ant-tanager,Bird,LC,N,2021-3
Hapalopsittaca amazonina,Rusty-faced Parrot,Bird,NT,N,2021-3
Hapalopsittaca fuertesi,Indigo-winged Parrot,Bird,EN,G,2021-3
Hapalopsittaca pyrrhops,Red-faced Parrot,Bird,LC,N,2021-3
Harpia harpyja,Harpy Eagle,Bird,VU,N,2021-3
Icterus northropi,Bahama Oriole,Bird,EN,N,2021-3
Indicator pumilio,Dwarf Honeyguide,Bird,LC,N,2021-3
Kupeornis chapini,Chapin's Mountain-babbler,Bird,LC,N,2021-3
Kupeornis rufocinctus,Red-collared Mountain-babbler,Bird,EN,N,2021-3
Larus armenicus,Armenian Gull,Bird,LC,G,2021-3
Lepidothrix vilasboasi,Golden-crowned Manakin,Bird,LC,N,2021-3
Linaria johannis,Warsangli Linnet,Bird,NT,N,2021-3
Lophornis gouldii,Dot-eared Coquette,Bird,NT,N,2021-3
Loriculus exilis,Pygmy Hanging-parrot,Bird,LC,N,2021-3
Loriculus tener,Bismarck Hanging-parrot,Bird,LC,G,2021-3
Macrocephalon maleo,Maleo,Bird,CR,G,2021-3
Malimbus ballmanni,Gola Malimbe,Bird,NT,N,2021-3
Megapodius geelvinkianus,Biak Scrubfowl,Bird,NT,N,2021-3
Megapodius laperouse,Micronesian Scrubfowl,Bird,NT,N,2021-3
Melanopareia maranonica,Maranon Crescentchest,Bird,LC,N,2021-3
Mentocrex beankaensis,Tsingy Wood-rail,Bird,VU,N,2021-3
Microcarbo coronatus,Crowned Cormorant,Bird,LC,N,2021-3
Mitu tuberosum,Razor-billed Curassow,Bird,NT,G,2021-3
Molothrus armenti,Bronze-brown Cowbird,Bird,NT,N,2021-3
Myiothlypis basilica,Santa Marta Warbler,Bird,NT,N,2021-3
Neopelma aurifrons,Wied's Tyrant-manakin,Bird,NT,N,2021-3
Nesillas mariae,Moheli Brush-warbler,Bird,EN,N,2021-3
Nesospiza wilkinsi,Wilkins's Finch,Bird,CR,G,2021-3
Nisaetus nipalensis,Mountain Hawk-eagle,Bird,NT,G,2021-3
Odontophorus dialeucos,Tacarcuna Wood-quail,Bird,LC,N,2021-3
Odontophorus gujanensis,Marbled Wood-quail,Bird,LC,N,2021-3
Oreotrochilus adela,Wedge-tailed Hillstar,Bird,LC,N,2021-3
Otidiphaps insularis,Black-naped Pheasant-pigeon,Bird,CR,N,2021-3
Otus insularis,Seychelles Scops-owl,Bird,CR,N,2021-3
Oxyura maccoa,Maccoa Duck,Bird,EN,G,2021-3
Paradisornis rudolphi,Blue Bird-of-paradise,Bird,NT,N,2021-3
Patagioenas subvinacea,Ruddy Pigeon,Bird,LC,N,2021-3
Penelope perspicax,Cauca Guan,Bird,VU,N,2021-3
Penelope purpurascens,Crested Guan,Bird,NT,N,2021-3
Penelope superciliaris,Rusty-margined Guan,Bird,NT,G,2021-3
Phyllanthus atripennis,Grey-hooded Capuchin Babbler,Bird,VU,N,2021-3
Picathartes oreas,Grey-necked Rockfowl,Bird,NT,N,2021-3
Pinaroloxias inornata,Cocos Finch,Bird,LC,N,2021-3
Pipile cujubi,Red-throated Piping-guan,Bird,VU,G,2021-3
Ploceus megarhynchus,Finn's Weaver,Bird,EN,G,2021-3
Ploceus nicolli,Usambara Weaver,Bird,NT,N,2021-3
Ploceus ruweti,Lufira Masked Weaver,Bird,LC,N,2021-3
Poeoptera femoralis,Abbott's Starling,Bird,EN,N,2021-3
Poliolais lopezi,White-tailed Warbler,Bird,LC,N,2021-3
Poospiza garleppi,Cochabamba Mountain-finch,Bird,NT,N,2021-3
Psophia crepitans,Grey-winged Trumpeter,Bird,LC,N,2021-3
Ptilinopus rarotongensis,Rarotonga Fruit-dove,Bird,NT,N,2021-3
Pycnonotus penicillatus,Yellow-eared Bulbul,Bird,LC,N,2021-3
Rallus semiplumbeus,Bogota Rail,Bird,VU,N,2021-3
Ramphastos sulfuratus,Keel-billed Toucan,Bird,NT,G,2021-3
Ramphodon naevius,Saw-billed Hermit,Bird,LC,N,2021-3
Rhegmatorhina hoffmannsi,White-breasted Antbird,Bird,LC,N,2021-3
Rheinardia ocellata,Vietnamese Crested Argus,Bird,CR,N,2021-3
Rollulus rouloul,Crested Partridge,Bird,VU,G,2021-3
Rynchops flavirostris,African Skimmer,Bird,LC,N,2021-3
Salvadorina waigiuensis,Salvadori's Teal,Bird,LC,N,2021-3
Saxicola gutturalis,White-bellied Bushchat,Bird,LC,N,2021-3
Scepomycter winifredae,Winifred's Warbler,Bird,NT,N,2021-3
Scolopax rochussenii,Moluccan Woodcock,Bird,VU,N,2021-3
Scytalopus canus,Paramillo Tapaculo,Bird,NT,N,2021-3
Scytalopus panamensis,Tacarcuna Tapaculo,Bird,NT,N,2021-3
Scytalopus perijanus,Perija Tapaculo,Bird,NT,N,2021-3
Spinus siemiradzkii,Saffron Siskin,Bird,LC,N,2021-3
Sternula balaenarum,Damara Tern,Bird,LC,N,2021-3
Strix butleri,Omani Owl,Bird,LC,N,2021-3
Synallaxis hypochondriaca,Great Spinetail,Bird,NT,N,2021-3
Synallaxis zimmeri,Russet-bellied Spinetail,Bird,VU,N,2021-3
Sypheotides indicus,Lesser Florican,Bird,CR,G,2021-3
Tinamus major,Great Tinamou,Bird,LC,N,2021-3
Torreornis inexpectata,Zapata Sparrow,Bird,NT,N,2021-3
Touit costaricensis,Red-fronted Parrotlet,Bird,NT,N,2021-3
Touit stictopterus,Spot-winged Parrotlet,Bird,NT,N,2021-3
Tropicoperdix graydoni,Sabah Partridge,Bird,NT,G,2021-3
Turdus bewsheri,Comoro Thrush,Bird,NT,N,2021-3
Turdus helleri,Taita Thrush,Bird,EN,N,2021-3
Turdus ludoviciae,Somali Thrush,Bird,LC,N,2021-3
Xiphorhynchus atlanticus,Atlantic Woodcreeper,Bird,VU,N,2021-3
Afrotyphlops gierrai,Usambara Spotted Worm Snake,Reptile,VU,N,2021-3
Ailuronyx trachygaster,Giant Bronze Gecko,Reptile,CR,G,2021-3
Aipysurus apraefrontalis,Short-nosed Sea Snake,Reptile,DD,N,2021-2
Aipysurus foliosquama,Leaf-scaled Sea Snake,Reptile,DD,N,2021-2
Amblyodipsas rodhaini,Rodhain's Purple-glossed Snake,Reptile,LC,N,2021-1
Amphisbaena lumbricalis,,Reptile,EN,N,2021-3
Amphisbaena slevini,Slevin's Worm Lizard,Reptile,LC,N,2021-3
Amphisbaena tragorrhectes,,Reptile,LC,N,2021-3
Anisolepis undulatus,Wiegmann's Tree Lizard,Reptile,DD,N,2021-3
Anolis armouri,Black-throated Stout Anole,Reptile,EN,N,2021-2
Anolis clivicola,Mountain Anole,Reptile,NT,N,2021-3
Anolis cusuco,,Reptile,CR,N,2021-2
Anolis festae,Veronica's Anole,Reptile,NT,N,2021-3
Anolis longiceps,Navassa Anole,Reptile,LC,N,2021-2
Anolis maculigula,Rueda's Anole,Reptile,NT,N,2021-2
Anolis monticola,La Hotte Bush Anole,Reptile,VU,N,2021-2
Anolis pinchoti,Crab Cay Anole,Reptile,LC,N,2021-2
Asaccus caudivolvulus,Emirati Leaf-toed Gecko,Reptile,CR,N,2021-2
Aspidura copei,Cope's Rough-side,Reptile,EN,N,2021-3
Atractaspis reticulata,Mole Viper,Reptile,LC,N,2021-1
Bavayia crassicollis,Strand Bavayia,Reptile,VU,N,2021-2
Bavayia cyclura,Forest Bavayia,Reptile,EN,N,2021-2
Bavayia exsuccida,Sclerophyll Bavayia,Reptile,CR,N,2021-2
Bavayia montana,Montane Bavayia,Reptile,EN,N,2021-2
Bavayia ornata,Ornate Bavayia,Reptile,CR,N,2021-2
Bavayia pulchella,Pretty Bavayia,Reptile,EN,N,2021-2
Bavayia sauvagii,Sauvage's Bavayia,Reptile,EN,N,2021-2
Boiga beddomei,Beddome's Cat Snake,Reptile,LC,N,2021-2
Boiga multifasciata,Many-banded Tree Snake,Reptile,LC,N,2021-3
Bothrops alcatraz,Alcatrazes Lancehead,Reptile,VU,N,2021-3
Bothrops itapetiningae,Sao Paulo Lancehead,Reptile,VU,N,2021-3
Bothrops pirajai,Piraja's Lancehead,Reptile,EN,N,2021-3
Brachyorrhos albus,,Reptile,LC,N,2021-3
Bungarus andamanensis,South Andaman Krait,Reptile,NT,N,2021-3
Calamaria nuchalis,Narrow-headed Reed Snake,Reptile,DD,N,2021-3
Calamodontophis paucidens,Tropical Forest Snake,Reptile,EN,N,2021-3
Caledoniscincus orestes,PaniÃ© Litter Skink,Reptile,VU,N,2021-2
Caledoniscincus terma,MandjÃ©lia litter skink,Reptile,DD,N,2021-2
Calotes minor,Hardwicke's Bloodsucker,Reptile,LC,N,2021-3
Centrochelys sulcata,African Spurred Tortoise,Reptile,EN,G,2021-1
Ceratophora aspera,Rough Nose Horned Lizard,Reptile,EN,N,2021-3
Chilabothrus angulifer,Cuban Boa,Reptile,LC,N,2021-2
Chilabothrus monensis,Mona Island Boa,Reptile,NT,G,2021-2
Clelia hussami,,Reptile,LC,N,2021-3
Cnemaspis kandiana,Kandy Day Gecko,Reptile,EN,N,2021-3
Cnemaspis nilagirica,Nilgiri Day Gecko,Reptile,NT,N,2021-2
Cnemaspis podihuna,Deraniyagala's Gecko,Reptile,VU,N,2021-3
Cnemaspis tropidogaster,Rough-bellied Day Gecko,Reptile,CR,N,2021-3
Cnemaspis yercaudensis,Yercaud Day Gecko,Reptile,EN,G,2021-2
Coleodactylus natalensis,Natal Pigmy Gecko,Reptile,EN,N,2021-3
Colobodactylus dalcyanus,Vanzolini's Teiid,Reptile,EN,N,2021-3
Contomastix vacariensis,,Reptile,VU,N,2021-3
Cordylus rivae,Ethiopian Girdled Lizard,Reptile,DD,N,2021-1
Cryptoblepharus ater,Black Snake-eyed Skink,Reptile,VU,N,2021-2
Cynisca schaeferi,Cameroon Worm Lizard,Reptile,EN,N,2021-2
Cyrtodactylus adleri,Alder’s bow-fingered gecko,Reptile,EN,N,2021-3
Cyrtodactylus ayeyarwadyensis,,Reptile,NT,N,2021-3
Cyrtodactylus cavernicolus,Niah Cave Gecko,Reptile,LC,N,2021-3
Cyrtodactylus deveti,Moluccan Bow-fingered Gecko,Reptile,VU,N,2021-3
Cyrtodactylus gordongekkoi,,Reptile,CR,N,2021-3
Cyrtodactylus gubernatoris,Sikkimese Bent-toed Gecko,Reptile,DD,N,2021-3
Cyrtodactylus jeyporensis,Jeypore Ground Gecko,Reptile,EN,N,2021-2
Cyrtodactylus wakeorum,,Reptile,EN,N,2021-3
Cyrtodactylus wetariensis,Wetar Bow-fingered Gecko,Reptile,LC,N,2021-3
Dierogekko insularis,Islands Striped Gecko,Reptile,EN,N,2021-2
Dierogekko nehoueensis,Striped Gekko,Reptile,EN,N,2021-2
Dieurostus dussumieri,Kerala Mud Snake,Reptile,NT,N,2021-3
Dopasia wegneri,Wegner's Glass Lizard,Reptile,LC,N,2021-3
Elapsoidea chelazzii,Somali Garter Snake,Reptile,DD,N,2021-1
Elapsoidea nigra,Black Garter Snake,Reptile,LC,N,2021-3
Epibator greeri,Greers Tree Skink,Reptile,EN,N,2021-2
Eremiascincus timorensis,,Reptile,NT,N,2021-3
Eunectes deschauenseei,Dark Spotted Anaconda,Reptile,LC,N,2021-2
Eurolophosaurus amathites,Amathites Lava Lizard,Reptile,EN,N,2021-3
Eurydactylodes occidentalis,,Reptile,EN,N,2021-2
Eurydactylodes symmetricus,Large-scaled Chameleon Gecko,Reptile,NT,N,2021-2
Eutropis ashwamedhi,Ashwamedh Writhing Skink,Reptile,EN,N,2021-3
Eutropis bibronii,Bibron's Skink,Reptile,NT,N,2021-3
Gehyra barea,Banda Island Dtella,Reptile,LC,N,2021-3
Gekko scabridus,Yunnan Gecko,Reptile,LC,N,2021-2
Geoscincus haraldmeieri,Meier's Skink,Reptile,DD,N,2021-2
Gonocephalus lacunosus,Manthey's Forest Dragon,Reptile,LC,N,2021-3
Gopherus agassizii,Mojave Desert Tortoise,Reptile,CR,N,2021-2
Gymnophthalmus vanzoi,,Reptile,LC,N,2021-3
Hardella thurjii,Crowned River Turtle,Reptile,EN,G,2021-1
Hemidactylus makolowodei,,Reptile,EN,N,2021-2
Hemidactylus sataraensis,Satara Gecko,Reptile,CR,G,2021-2
Hemidactylus scabriceps,Scaly Gecko,Reptile,EN,N,2021-3
